medium,priority,impressum_url
finanzen.net,PRIO 1,https://finanzen.net/impressum
DER PLATOW Brief,PRIO 1,https://brief.platow.de/impressum
BÖRSE ONLINE,PRIO 1,https://www.boerse-online.de/impressum.html
Euro am Sonntag,PRIO 1,https://www.eurams.de/impressum.html
dpa-AFX,PRIO 1,https://dpa-afx.de/impressum
AWP (Schweiz),PRIO 1,https://www.awp.ch/contact
Reuters (DACH-Desk),PRIO 1,https://reuters.com/info/disclaimer
Bloomberg (DACH),PRIO 1,https://bloomberg.com/notices/tos
private banking magazin,PRIO 2,https://private-banking-magazin.de/impressum
BÖRSE (Magazin),PRIO 2,https://boerse-live.at/impressum
Cash. (Schweiz),PRIO 2,https://cash.ch/impressum
Handelszeitung,PRIO 2,https://handelszeitung.ch/impressum
Bilanz,PRIO 2,https://bilanz.ch/impressum
Schweizer Versicherung / HZ Insurance,PRIO 2,https://handelszeitung.ch/impressum
dpn – deutsche pensions & investmentnachrichten,PRIO 2,https://dpn-online.com/impressum
Absolut Research,PRIO 2,https://absolut-research.de/impressum
AssCompact,PRIO 2,https://asscompact.de/impressum
procontra,PRIO 2,https://procontra-online.de/impressum
VersicherungsJournal,PRIO 2,https://versicherungsjournal.de/impressum
Cash. Online (DE),PRIO 2,https://cash-online.de/impressum
Kress (kress.de),PRIO 2,https://kress.de/rechtliches-hilfe/impressum
turi2,PRIO 2,https://turi2.de/impressum
Trending Topics,PRIO 2,https://trendingtopics.eu/impressum
Finance Forward,PRIO 2,https://financeforward.com/impressum
ETF Magazin (Deutsche Börse),PRIO 2,https://das-etf-magazin.de/impressum
justETF,PRIO 2,https://justetf.com/de/impressum
ExtraETF,PRIO 2,https://extraetf.com/impressum
Der Treasurer,PRIO 2,https://dertreasurer.de/impressum
FINANCE Magazin,PRIO 2,https://finance-magazin.de/impressum
Gewinn,PRIO 2,https://gewinn.com/impressum
Format / trend.,PRIO 2,https://trend.at/impressum
Börse Express,PRIO 2,https://boerse-express.com/impressum
Vorsorgeforum.ch,PRIO 2,https://vorsorgeforum.ch/impressum
Schweizer Monat,PRIO 2,https://schweizermonat.ch/impressum
Wirtschaftsblatt (AT) / WirtschaftsBlatt.at,PRIO 2,https://wirtschaftsblatt.at/impressum
Finanztip,PRIO 3,https://finanztip.de/impressum
Finanzfluss,PRIO 3,https://finanzfluss.de/impressum
Handelsblatt Today,PRIO 3,https://handelsblatt.com/impressum
OMR / Finance Forward Podcast,PRIO 3,https://omr.com/impressum
The Market (NZZ),PRIO 3,https://themarket.ch/impressum
Fundview,PRIO 3,https://fundview.de/impressum
CAPinside,PRIO 3,https://capinside.com/impressum
Scope Group / Scope Fund Analysis,PRIO 3,https://scopegroup.com/impressum
IPE (Investment & Pensions Europe),PRIO 3,https://ipe.com/impressum
Citywire Schweiz,PRIO 3,https://citywire.com/ch/impressum
Morningstar DACH,PRIO 3,https://morningstar.de/impressum
Euro (Finanzen Verlag),PRIO 3,https://euro-magazin.de/impressum
Tagesspiegel Background (Sustainable Finance),PRIO 3,https://tagesspiegel.de/impressum
LEITERbAV,PRIO 3,https://leiterbav.de/impressum
Anlagestrategien / Smart Investor,PRIO 3,https://smartinvestor.de/impressum
Moneycab,PRIO 3,https://moneycab.com/impressum
Nau.ch Finance,PRIO 3,https://nau.ch/impressum
wallstreet:online / Smartbroker,PRIO 3,https://wallstreet-online.de/impressum
onvista,PRIO 3,https://onvista.de/impressum
Schweizer Bank (Magazin),PRIO 3,https://schweizer-bank.ch/impressum
Finews.ch,PRIO 3,https://finews.ch/impressum
Finews.com (English),PRIO 3,https://finews.com/impressum
Inside Paradeplatz,PRIO 3,https://insideparadeplatz.ch/impressum
